Question,Option A,Option B,Option C,Option D,Correct Answer
What is each atom made up of the following components?,"Protons, Neutrons, Electrons","Protons, Core, Electrons","Nucleus, Neutrons, Electrons",,"Protons, Neutrons, Electrons"
How many valence electrons with L shell?,5,3,8,,8
The mass of an atom is mainly focus on the?,Electrons,Protons,Protons and neutrons,,Protons
What charge does the nucleus of an atom possess?,Positive,Negative,Neutral,,Positive
What is the reason for the good conductivity of metal?,Metal is the high mobility of its electrons,Metal is the low mobility of its electrons,Metal is an arrangement of atoms with 8 electrons in the valence orbit,,Metal is the high mobility of its electrons
Coulomb’s Law is,About the force electrical charges have on each other,About the force molecule charges have on each other,About the Energy electrical charges have on each other,,About the force electrical charges have on each other
What effect do the electrons of one atom have upon the electrons of another atom?,They repel each other,They attract each other,They have no effect on each other,,They repel each other
What is the definition of Elementary Charge?,"Every electron carries a negative charge, every proton carries a positive charge. Both have the smallest charge existing,","Every Proton carries a negative charge, every Neutron carries a positive charge. Both have the smallest charge existing,","Every electron carries a positive charge, every proton carries a negative charge. Both have the smallest charge existing,",,"Every electron carries a negative charge, every proton carries a positive charge. Both have the smallest charge existing,"
"If 2 coulombs flowed through a circuit in 2 seconds, the circuit would have",2 volts PD,2 amps,1 amp,,1 amp
An electric current is a flow of,Electrons from a positively charged area to a negatively charged area,Protons from a positively charged area to a negatively charged area,Electrons from a negatively charged area to a positively charged area,,Electrons from a negatively charged area to a positively charged area
An electric current is,A surplus of free electron,An excitement of electrons in a metal,An ordered flow of electrons,,An ordered flow of electrons
Electromotive force is measured in,Watts,Ohms,Volts,,Volts
Voltage is generated by,The free flow of neutron,The heat between electron and proton,The separation of charges,,The separation of charges
Which of the following is 1Amp?,1000 A,1000 kA,1000 mA,,1000 mA
1 Ampere will equal to?,6.25 x 10^15 electrons per second.,6.25 x 10^21 electrons per millisecond.,6.25 x 10^18 electrons per second.,,6.25 x 10^18 electrons per second.
What type of current exist in conductive liquids?,Electron current,Ion and electron currents,Ion currents,,Ion currents
An electric current is a flow of,Electrons from a positively charged area to a negatively charged area,Protons from a positively charged area to a negatively charged area,Electrons from a negatively charged area to a positively charged area,,Electrons from a negatively charged area to a positively charged area
Which types of material contain positive charges?,"Nylon, Silver, Copper, lead","Sulfur, Polyester, Silicon, Celluloid","Glass, human hair, silk, lead, aluminium",,"Glass, human hair, silk, lead, aluminium"
What will happen when rubbing glass rod and silk?,Nothing happens,Glass rods receive electrons and become negatively charged,Glass rods give up electrons and become positively charged,,Glass rods give up electrons and become positively charged
A piezoelectric device generates electricity through,Pressure,Friction,Light,,Pressure
